"Trial version does not support the following functions, please make sure that you have been authorized and registered correctly.\nFor more information, please contact %s!\n\n1.Does not support saving files exceed 1000 objects;\n2.Plotting (or publishing) with watermark;\n3.Does not support saving as dxf file;\n4.Does not support export and copyclip;\n5.Does not support exporting files exceed 1000 objects in wblock.\nStart %s anyway?","Zkušební verze nepodporuje následující funkce, ujistěte se, že jste byli autorizováni a správně zaregistrováni.\nPro další informace kontaktujte %s!\n\n1.Nepodporuje ukládání souborů přesahujících 1000 objektů;\n2.Tisk (nebo publikování) s vodoznakem;\n3.Nepodporuje ukládání souborů dxf;\n4.Nepodporuje export a kopírování;\n5.Nepodporuje export souborů přesahujících 1000 objektů příkazem pišblok.\nPřesto %s spustit?"
"Trial version does not support Wblock Dxf!\nPlease make sure that you have been authorized and registered correctly.\nFor more information, please contact with %ls!\nContact email: sales@zwsoft.com","Zkušební verze nepodporuje Wblock Dxf!\nProsím ujistěte se, že máte oprávnění a jste správně zaregistrovaní.\nPro více informací prosím kontaktujte %ls!\nKontaktní e-mail: sales@zwsoft.com"
"Trial version does not support WBlock!\nPlease make sure that you have been authorized and registered correctly.\nFor more information, please contact %s!\nContact email: sales@zwsoft.com","Zkušební verze nepodporuje WBlock!\nProsím ujistěte se, že máte oprávnění a jste správně zaregistrovaní.\nPro více informací prosím kontaktujte %s!\nKontaktní e-mail: sales@zwsoft.com"
"Trial version does not support Wblock!\nPlease make sure that you have been authorized and registered correctly.\nFor more information, please contact with %ls!\nContact email: sales@zwsoft.com","Zkušební verze nepodporuje Wblock!\nProsím ujistěte se, že máte oprávnění a jste správně zaregistrovaní.\nPro více informací prosím kontaktujte %ls!\nKontaktní e-mail: sales@zwsoft.com"
Triangle,Trojúhelník
Trim,Oříznout
TRIM,OŘEŽ
Trim edge space,Ořízněte okrajový prostor
Trim No _Trim No,Ořezat Neořezat _Trim No
Trims objects at a cutting edge defined by other objects: TRIM,Ořízne objekty ořezovou hranou definovanou jinými objekty:  OŘEŽ
trouble patching argument,problém oprav argumentu
Troy ounces,Trojské unce
true,pravda
True,ANO
True Color,Truecolor
True Color Stored as RGB:,True Color uložená jako RGB:
"true, false, centered, horizontal, vertical... } or an attribute value of integer, string or float.","pravda, nepravda, centrovaný, horizontální, vertikální... } nebo hodnota atributuo integer, řetězec nebo plovoucí."
Truecolor COlorbook _Truecolor COlorbook,Truecolor Knihovna _Truecolor COlorbook
TrueType &fonts as text,T&rueType písmo jako text
TrueType as &graphics,TrueType jako &grafika
TrueType as &text,TrueType jako &text
TrueType Fonts (*.ttf),Písma TrueType (*.ttf)
TrueType fonts as &graphics,Tr&ueType písmo jako grafika
TrueVision Inc. defined the TGA file format in 1984 for use with its first video graphics products.,Společnost TrueVision Inc. definovala formát souboru TGA v roce 1984 pro použití s jeho prvními produkty video grafiky.
Truevision Targa,Truevision Targa
Truncate,Oříznout
Truth,Pravda
Try to delete a profile that doesn't exist.,Zkuste odstranit profil který neexistuje.
"Try to obtain a right file, or convert the file to a supported file format.","Zkuste získat správný soubor, nebo jej převeďte na podporovaný formát souboru."
TT,TT
Tube radius,Poloměr trubky
Tuesday,Úterý
Turkish,Turecké
Turn &off window transparency,&Vypnout průhlednost okna
Turn a layer On or Off,Zapíná nebo vypíná hladinu
Turn All Layers On,Hladiny Ano (všechny)
Turn Height,Výška otáčky
Turn height;Turns;Height,Výška otáčky;Otáčky;Výška
Turn Non-selected Layers Off,Vypnout nevybrané hladiny
Turn off tooltips,Vypnout popisky
"Turn on ""Fit to Paper"" to automatically match the paper? Yes: On No: Off","Zapněte ""Přizpůsobit"" pro automatické přizpůsobení papíru? Ano: Zap Ne: Vyp"
Turn on or off,Zapne nebo vypne
Turn on tooltips,Zapnout popisky
Turn slope,Sklon otáčky
Turning off Automatic Save File.\nThe time interval is set to zero.,Vypíná Automatické ukládání souboru.\nČasový interval je nastaven na nulu.
Turning off the layer of a selected object makes that object invisible. This command would be very useful if you need an unobstructed view when working in a particular drawing or if you don’t want to plot details such as construction lines.,"Vypnutí hladiny vybraného objektu udělá ten objekt neviditelným. Tento příkaz je velmi užitečný, pokud potřebujete ničím nerušený pohled při práci ve specifickém výkresu nebo pokud nechcete tisknout detaily, jako konstrukční čáry."
"Turning off the layer of a selected object makes the object invisible. This command is useful if you need a clearer view when plotting, or you don't want to print details (such as XLines).","Vypnutím hladiny vybraného objektu se objekt stane neviditelným. Tento příkaz je užitečný, pokud potřebujete jasnější pohled při vykreslování nebo nechcete tisknout detaily (například Přímky)."
Turns,Otáčky
Turns Annotative on or off for new or selected text,Zapne nebo vypne poznámku pro nový nebo vybraný text
Turns automatic spell checking on or off,Zapne nebo vypne automatickou kontrolu pravopisu
Turns back on all layers that were previously turned off. Objects created on those layers become visible if the layers are not frozen.,"Zapíní všechny hladiny, které byly předtím vypnuty. Objekty vytvořené v těchto vrstvách jsou viditelné v případě, že vrstvy nejsou zmrazené."
Turns bold formatting on and off for new or selected text,Zapíná a vypíná tučné formátování nového nebo vybraného textu
Turns comparison display on or off: FCMPTOGGLEREFERENCE,Zapne nebo vypne zobrazení porovnání: FCMPTOGGLEREFERENCE
Turns group bounding box on and off: GROUPDISPLAYMODE,Zapíná a vypíná hraniční rámeček skupiny: GROUPDISPLAYMODE
Turns group selection on and off: PICKSTYLE,Zapne vybíratelnost skupiny Ano a Ne: PICKSTYLE
Turns italic formatting on and off for new or selected text,Zapíná a vypíná formátování kurzívou nového nebo vybraného textu
"Turns off a viewport, making its objects invisible: -VPORTS",Vypne výřez a udělá jeho objekty neviditelnými.:  -VÝŘEZ
Turns off the layer of non-selected objects: LAYOFFISO,Vypne hladinu nevybraných objektů: HLADVYPIZO
Turns off the layer of selected objects: LAYOFF,Vypne hladiny vybraných objektů: VYPHLAD
Turns off to use the legacy island detection method,"Vypne se, pokud chcete použít starší metodu detekce ostrůvků"
"Turns on a viewport, making it active and making its objects visible: -VPORTS","Zapne výřez, udělá jej aktivním a jeho objekty viditelnými.:  -VÝŘEZ"
Turns on all layers in drawing:   LAYON,Zapne všechny hladiny ve výkresu:  ZAPHLAD
Turns on all layers in the drawing: LAYON,Zapne všechny hladiny výkresu: ZAPHLAD
Turns on and off the hatching in the drawing view,Zapíná a vypíná šrafování v zobrazení výkresu
Turns on and off the label for the drawing view,Zapíná a vypíná popisek pro zobrazení výkresu
Turns on and off the visibility of edges excluded by an interference condition in the drawing view,Zapíná a vypíná viditelnost hran vyloučených protnutím v zobrazení výkresu
Turns on and off the visibility of edges formed by surfaces intersecting tangentially in the drawing view,"Zapíná a vypíná viditelnost hran tvořených povrchy, které se tečně protínají v zobrazení výkresu"
Turns on or off a preset level of transparency for 3D solids and surfaces,Zapne nebo vypne přednastavenou úroveň průhlednosti pro 3D tělesa a povrchy
Turns on or off dynamic input function: DYNMODE,"Zapíná, nebo vypíná funkci dynamického zadávání: DYNMODE"
Turns on or off selection cycling: SELECTIONCYCLING,Zapíná nebo vypíná cyklování výběru: SELECTIONCYCLING
Turns on or off the identical objects in both drawings,Zapíná nebo vypíná stejné objekty na obou výkresech
Turns on or off the objects only in Datum file,Zapíná nebo vypíná objekty pouze v souboru datumu
Turns on or off the objects only in Reference file,Zapíná nebo vypíná objekty pouze v souboru reference
Turns Ortho on or off: ORTHO,Zapnout nebo vypnout Ortho: ORTO
Turns overline on and off for new or selected text,Zapíná a vypíná nadtržení pro nový nebo vybraný text
Turns strikethrough on and off for new or selected text,Zapíná a vypíná přeškrtnutí u nového nebo vybraného textu
Turns the compass function on or off,Zapíná nebo vypíná funkci kompasu
Turns the grid function on or off,Zapne nebo vypne funkci mřížky
Turns the perspective view on or off: PERSPECTIVE,Zapíná nebo vypíná perspektivní zobrazení: PERSPECTIVE
Turns the UCS icon of current view on or off,Zapne nebo vypne ikonu USS aktuálního zobrazení
Turns underlining on and off for new or selected text,Zapíná a vypíná podtržení pro nový nebo vybraný text
Turns:,Otáčky:
TV_plan,TV_Půdorys
Twist,Stoupání
Twist along path,Zkroucení podél dráhy
Twist along path:,Zkroucení podél dráhy:
Two lines in function %ls do not intersect or are collinear.\n,Dvě čáry ve funkci %ls se neprotínají nebo jsou kolineární.\n
Two ways of inserting OLE objects are provided: embed and link. The difference between these two ways is that a link can be updated whenever you want; while embedding is unable to update due to lack of links.,"Jsou k dispozici dva způsoby vkládání objektů OLE: vložení a připojení. Rozdíl mezi těmito dvěma způsoby je, že připojení mohou být aktualizovány, kdykoli budete chtít, zatímco vkložení nelze aktualizovat z důvodu nedostatku odkazů."
Two Weeks,Dva týdny
Two weeks ago,Před dvěma týdny
Two: Horizontal,Dva: Horizontálně
Two: Vertical,Dva: Vertikálně
txt,txt
TXT files|*.txt,TXT soubory|*.txt
TXTEXP,TEXTNAKŘIVKY
Type,Typ
Type _Type,Typ _Type
Type and pattern,Typ a vzor
Type Hidden Scale Visibility Annotation hatCh _Type Hidden Scale Visibility Annotation hatCh,Typ Skryté Měřítko Viditelnost Poznámka Šrafy _Type Hidden Scale Visibility Annotation hatCh
Type Library not found,Typ knihovny nenalezen
Type Name Undo _ Type Name Undo,Typ Název Zpět _ Type Name Undo
"Type of grip(e.g., linear, rotation, etc.)","Typ uchopení (např. lineární, otočení atd.)"
Type sElect Orientation Hidden Scale Visibility _Type sElect Orientation Hidden Scale Visibility,Typ vyBrat Orientace Skryté Měřítko Viditelnost _Type sElect Orientation Hidden Scale Visibility
Type:,Typ:
Type: %s\n,Typ: %s\n
Type:[%s] Size:[%.4f],Typ:[%s] Velikost:[%.4f]
Typeface,Písmo
Typeface:,Písmo:
Typesets the drawings automatically to plot: ZWJOINPLOT,Automaticky vysází výkresy pro plotr: ZWJOINPLOT
U command was disabled. Use UNDO command to enable it.,Příkaz U nefunguje. Pro jeho spuštění použijte příkaz ZPĚT.
U Merge Break Connect eXit _U Merge Break Connect eXit,U Sloučit Přerušit připOjit konEc _U Merge Break Connect eXit
U Yes No _U Yes No,U Ano Ne _U Yes No
U-isolines =,U-isočáry =
UCS,USS
UCS %ls already exists. Redefine it? [Yes/No] <No>:,USS %ls již existuje. Předefinovat jej? [Ano/Ne] <Ne>:
UCS Control,Řízení USS
UCS coordinates of first point of leader:,USS souřadnice prvního bodu odkazu:
UCS Details,Podrobnosti USS
UCS Icon,Ikona USS
Ucs icon at origin,Ikona USS v počátku
UCS icon color,Barva ikony USS
UCS Icon Drop-down,Rozbalovací nabídka ikon USS
Ucs icon on,USS ikona ano
UCS Icon settings,Nastavení ikony USS
UCS icon size,Velikost ikony USS
UCS Icon Split Button,Tlačítko rozdělení ikony USS
UCS icon style,Styl ikony USS
"UCS Icon, Properties","Ikona USS, Vlastnosti"
UCS II,Uss Ii
UCS II Toolbar,Toolbar USS II
Ucs name,Název USS
UCS Origin,Počátek USS
Ucs per viewport,USS zvlášť pro každý výřez
UCS Previous,Předchozí Uss
UCS settings,Nastavení USS
UCS Toolbar,Toolbar USS
"UCS, 3 Points","USS, 3 body"
"UCS, Apply","USS, Použít"
"UCS, Back","USS, Zadní"
"UCS, Bottom","USS, Zdola"
"UCS, Face","USS, Plocha"
"UCS, Front","USS, Přední"
"UCS, Left","USS, Zleva"
"UCS, Object","USS, Objekt"
"UCS, Origin","USS, Počátek"
"UCS, Previous","USS, Předchozí"
"UCS, Right","USS, Zprava"
"UCS, Rotate UCS about X","USS, Otočit USS kolem X"
"UCS, Rotate UCS about Y","USS, Otočit USS kolem Y"
"UCS, Rotate UCS about Z","USS, Otočit USS kolem Z"
"UCS, Top","USS, Horní"
"UCS, View","USS, Pohled"
"UCS, World","USS, Globální"
"UCS, Z Axis Vector","USS, Vektor osy Z"
UCS:,USS:
UCSICON,USSI
UCSMAN,SPRUSS
UCSs,USSy
UI Settings,UI Nastavení
UI settings:,Nastavení UI:
Ukrainian,Ukrajinština
Un,Un
"Unable to access ""%ls"" for write.\nAccess is denied.","Nelze získat přístup k ""%ls"" pro zápis.\nPřístup zamítnut."
Unable to access file.\r\nFile may be in use.,Nelze získat přístup k souboru.\r\nSoubor může být používán.
